,Intent,Label
68,If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
69,Sting is just too damn earnest for early morning listening. ,anger
70,Sting is just too damn earnest for early morning listening. #sting,anger
71,Just seeing Alex revells face gets me angry,anger
72,"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger
73,@danbloom1 beware the fury of a weak king,anger
74,@DJ_JeanFranko growl!!!,anger
75,"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
76,"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger
77,"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger
78,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger
79,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger
80,I hope my hustle don't offend nobody,anger
81,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
82,Lol little things like that make me so angry x,anger
83,"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
84,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless,anger
85,This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
86,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍,anger
87,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser,anger
88,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger
89,wanna go home and focus up on this game . Don't wanna rage at all,anger
90,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious,anger
91,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 ,anger
92,I wanna see you smile I don't wanna see you make a frown,anger
93,@shae_caitlin ur road rage gives me anxiety.,anger
94,@eMilsOnWheels I'm furious 😩😩😩,anger
95,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
96,They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
97,They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
98,I just got murdered in madden. 🤕,anger
99,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,anger
100,@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger
101,new madden 16 video was gonna be up but xbox is being an ahole and not going through 🙄🙄 #struggles,anger
102,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
103,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
104,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
105,I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh 😅,anger
106,@crystaldiamondo impossible to say. We can only hope that I don’t unwittingly trigger her ferocious side again. Hell hath no fury..,anger
107,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger
108,Autocorrect changes ''em' to 'me' which I resent greatly,anger
109,Candice on great british bake off with that pout does my head in 👊🏻🙄,anger
110,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
111,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,anger
112,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,anger
113,Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,anger
114,"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
115,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
116,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
117,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
118,When you want to say something so bad but can't ! #furious 😤,anger
119,“Competition is suppose to motivate you to do better everytime not to be bitter all the time” -De philosopher DJ Kyos \n#quote #success #CSGO,anger
120,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
121,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger
122,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
123,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc,anger
124,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
125,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey,anger
126,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger
127,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger
128,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
129,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
130,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
131,Star trek online has a update to download oh fuming yay,anger
132,@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge 🙌🏼🙌🏼,anger
133,"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger
134,The war is right outside your door #rage #USAToday,anger
135,The war is right outside your door  #USAToday,anger
136,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
137,@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
138,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
139,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger
140,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling",anger
141,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
142,@louiseannexx u fucked my house up I'll always hold a grudge,anger
143,@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.,anger
144,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!,anger
145,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,anger
146,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame,anger
147,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite ,anger
148,"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --",anger
149,After what just happened. In need to smoke. #burning,anger
150,After what just happened. In need to smoke. ,anger
151,I really wish my road rage wasn't so damn bad lmaooooo,anger
152,"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs",anger
153,"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?",anger
154,when you think you've got it together for a day then you randomly burst out crying,anger
155,"You offend me, @Tansorma",anger
156,@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing,anger
157,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY",anger
158,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY",anger
159,@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,anger
160,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger
161,@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger
162,@Alex_Philip2648 it's a step up from boiling broccoli tbh,anger
163,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger
164,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger
165,"@EE whats with the 50p a minute charge to 150, insult to injury",anger
166,"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.",anger
167,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger
168,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,anger
169,I HATE little girls 😡😡 got a lot off growing up to do!!! ,anger
170,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger
171,Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger
172,@JamieRJN She's all over the political map in her relentless pursuit of power.,anger
173,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger
174,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
175,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
176,Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
177,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered,anger
178,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger
179,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered,anger
180,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger
181,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger
182,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger
183,Nothing is more relentless than a dog begging for food,anger
184,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger
185,@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.,anger
186,People that smoke cigarettes irritate my soul.,anger
187,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 ,anger
188,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 #raging,anger
189,Threat factors in respect to provocation bulb worm: BnQo,anger
190,#Scorpio always seek revenge!,anger
191,"— Self-hatred gives rise to fury, fury to the desire for self-change.",anger
192,You sting like a bee but you're still my honey.,anger
193,"if u have time 2 open a snap, u have time 2 respond",anger
194,"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger
195,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming",anger
196,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. ",anger
197,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger
198,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger
199,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.,anger
200,The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment,anger
201,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger
202,"Be quick to #listen, slow to #speak, and slow to #anger.",anger
203,"Be quick to #listen, slow to #speak, and slow to .",anger
204,"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine",anger
205,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
206,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
207,We floated like butterflies. Now you sting like bees!',anger
208,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger
209,Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔,anger
210,@Shonna_Ludi @_braaaat_ 😂😂😭😭😭 resentment,anger
211,no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger
212,@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! 🔥,anger
213,"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
214,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh,anger
215,A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger
216,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger
217,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD,anger
218,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD,anger
219,I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
220,Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
221,Panpiper playing Big River outside The Bridges in SR1 ,anger
222,I base when it's going to rain here off of brills snap stories.,anger
223,@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger
224,"@mattstottwrites For me not so much outrage as ‘oh, using female body to sell something, AGAIN’",anger
225,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty,anger
226,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻  #petty,anger
227,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you",anger
228,@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger
229,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
230,This is a joke @SomersetCCC #fuming,anger
231,This is a joke @SomersetCCC ,anger
232,"@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so",anger
233,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger
234,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
235,"Forgiveness might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.",anger
236,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,anger
237,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
238,Trump supports reach another level of irritation within me,anger
239,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger
240,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger
241,RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?,anger
242,@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger
243,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/,anger
244,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger
245,@inthefade going back to blissful ignorance?! #fury,anger
246,@inthefade going back to blissful ignorance?! ,anger
247,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
248,ethan was with someone in the car when he did his revenge on grayson,anger
249,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
250,@zavierdaniels had to snap going crazy 😭😭,anger
251,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
252,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
253,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger
254,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger
255,@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge 😂,anger
256,@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.,anger
257,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
258,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger
259,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless,anger
260,White people irritate me.,anger
261,"Y'all bitches be so angry and bitter, that must truly suck lol",anger
262,@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers,anger
263,We're going to get City in the next round for a revenge.,anger
264,Me: *sees incense burner* is this for drugs?,anger
265,"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
266,@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism,anger
267,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger
268,So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.,anger
269,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
270,"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.",anger
271,When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife,anger
272,@o2academybham since when the fuck can you not stand at a concert? #raging,anger
273,@o2academybham since when the fuck can you not stand at a concert? ,anger
274,My irritation level is at an all time high today 🙃,anger
275,@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks,anger
276,@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,anger
277,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
278,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger
279,@DatGuydARK I wouldn't fret. There's too many opportunities in life to worry about one not working out.,anger
280,@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim,anger
281,@clppng #offended the tonys have found a way to leave me out and now y'all have too,anger
282,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,anger
283,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger
284,These NA kids are relentless,anger
285,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger
286,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger
287,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
288,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .",anger
289,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger
290,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 ,anger
291,Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist,anger
292,Every dancers dream song #snap #worldpower,anger
293,Every dancers dream song  #worldpower,anger
294,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,anger
295,Having one of those #angry days. I will have to stop watching #news.,anger
296,@laureeenwillam can't cope wi her sour face and tiny pout 😡😡,anger
297,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh,anger
298,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
299,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
300,ICQ is just making me mad!!!😤 #icq #angry,anger
301,ICQ is just making me mad!!!😤 #icq ,anger
302,Ppl like that irritate my soul,anger
303,Why is it always me picking up the pieces :/ #angry,anger
304,Why is it always me picking up the pieces :/ ,anger
305,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.",anger
306,Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life,anger
307,The outrage over Kessel's tweet by butthurt USA players is hilarious.,anger
308,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
309,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted ,anger
310,@missblair140 AWH tiff you're such a great friend I love you :(( thank you,anger
311,Oh man it's been so long since I've played #madden I am trash anymore.,anger
312,I only have to wave a fiery cross and we will f**kin' do this!,anger
313,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
314,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you.",anger
315,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
316,@thehill no wonder USA is going to shit with such outrage over a simple analogy.,anger
317,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger
318,@Remedy0_ switch host no bullet rage.,anger
